Query_Id,query,label,comments
1,How can I update my email address on my account?,Inquiry,
2,I need help resetting my password.,Request for action,
3,Can you guide me on how to change my subscription plan?,Request for action,
4,How do I delete my account permanently?,Inquiry,
5,I want to know if I can pause my subscription temporarily.,Inquiry,
6,How can I check my account balance?,Inquiry,
7,I forgot my username; can you help me recover it?,Request for action,
8,How do I update my payment details for the subscription?,Inquiry,
9,Can you explain how to redeem my loyalty points?,Request for action,
10,I want to unsubscribe from your promotional emails.,Unclear,Expresses only want the customer wants to do.But do not provide information whether they are seeking clarification on how to do it or requesting help to unsubscribe
11,Where can I find the details of my past transactions?,Inquiry,
12,How do I enable two-factor authentication for my account?,Inquiry,
13,How can I check when my subscription is set to renew?,Inquiry,
14,What happens if my payment method expires during auto-renewal?,Inquiry,
15,How do I add a secondary user to my account?,Inquiry,
16,Can I switch to an annual plan instead of monthly billing?,Inquiry,
17,I need help recovering my account after it was locked.,Request for action,
18,Where can I view the subscription benefits in detail?,Inquiry,
19,Can I get a trial period before committing to a subscription?,Inquiry,
20,How do I change the shipping address saved on my account?,Inquiry,
21,I want to know if I can merge two accounts into one.,Inquiry,
22,What steps do I need to follow to verify my account?,Inquiry,
23,Can I add multiple payment methods to my account?,Inquiry,
24,How do I update the preferences for notifications from your service?,Inquiry,
25,What should I do if my account gets hacked?,Inquiry,
26,Can I access my subscription benefits while traveling abroad?,Inquiry,
27,How do I extend the trial period for my subscription?,Inquiry,
28,How do I dispute a charge made to my account?,Inquiry,
29,I need help linking my account with my social media profiles.,Request for action,
30,I cannot log into my account despite using the correct password.,Technical Issue,
31,The app keeps freezing when I try to access my previous orders.,Technical Issue,
32,The website shows an error message every time I attempt to make a payment.,Technical Issue,
33,The new update caused some of my saved data to disappear.,Technical Issue,
34,Why is my promo code  not being accepted during checkout?,Inquiry,
35,I am having trouble connecting to your service via mobile data.,Technical Issue,
36,My device is not syncing properly with the app.,Technical Issue,
37,The tracking system does not show any updates for my package.,Technical Issue,
38,I can not download the invoice for my recent order.,Technical Issue,
39,I keep getting logged out of my account automatically.,Technical Issue,
40,I am unable to verify my account using the email link.,Technical Issue,
41,Why is the system showing duplicate charges on my account?,Inquiry,
42,The notifications are not working despite enabling them in settings.,Technical Issue,
43,"The subscription renewal failed, but my account was charged.",Technical Issue,
44,I can not access the premium features I paid for.,Technical Issue,
45,My two-factor authentication code is not being sent to my phone.,Technical Issue,
46,The download link provided in the email does not work.,Technical Issue,
47,Why is my payment method being declined repeatedly?,Inquiry,
48,I can not change my password because the reset page is not loading.,Technical Issue,
49,The help center section displays a blank page.,Technical Issue,
50,I am unable to link my social media account to your service.,Technical Issue,
51,Why am I seeing a blank screen after logging into the app?,Inquiry,
52,I am not receiving email notifications for account activity.,Technical Issue,
53,Your customer service team is always so helpful and quick to respond!,Praise,
54,I love the quality of your products; they are worth every penny.,Praise,
55,Your app update made everything so much easier to navigate. Great job!,Praise,
56,I am so impressed with how fast my order was delivered.,Praise,
57,Your website is beautifully designed and very user-friendly.,Praise,
58,The packaging was so thoughtful and customised. Thank you!,Praise,
59,I had a great experience using your service for the first time.,Praise,
60,Your team resolved my issue in no time. Amazing customer care!,Praise,
61,I love how detailed your product descriptions are. They make shopping so easy.,Praise,
62,The loyalty program rewards are so generous. Keep it up!,Praise,
63,Your live chat feature is one of the best I have ever used.,Praise,
64,"I have been a loyal customer for years, and your service keeps getting better!",Praise,
65,The customization options you offer are fantastic!,Praise,
66,I can not wait to recommend your products to my friends and family.,Praise,
67,Your seasonal discounts are unbeatable!,Praise,
68,I love the variety of items available on your platform.,Praise,
69,Your attention to detail in product design is amazing.,Praise,
70,The recent promotional email I received was so beautifully crafted.,Praise,
71,I am so happy with how easy it was to return an item.,Praise,
72,The rewards program is such a great incentive to keep shopping with you.,Praise,
73,I appreciate the constant updates on my order status. It is very professional!,Praise,
74,Your free shipping policy is such a great perk for customers.,Praise,
75,I love the way you respond personally to customer queries. It feels special.,Praise,
76,"Your products always arrive exactly as advertised, no surprises!",Praise,
77,I have never had such a smooth onboarding experience with any other service.,Praise,
78,The tips you include in your newsletters are so useful. Thank you!,Praise,
79,I am impressed by how you continuously innovate your offerings.,Praise,
80,Your company is setting a great example in customer service excellence.,Praise,
81,I always feel valued as a customer when I interact with your team.,Praise,
82,Thank you for consistently exceeding my expectations with every purchase.,Praise,
83,The product arrived damaged and completely unusable. Very disappointing experience.,Complaint,
84,It is not worth the price at all. The quality does not match the cost.,Complaint,
85,Overpriced and underwhelming! I expected much better for the amount paid.,Complaint,
86,"The product broke within a few days of use. Clearly, it is not durable.",Complaint,
87,The description was misleading; the actual product is much smaller and of lower quality.,Complaint,
88,I received the wrong item entirely. This has caused a lot of inconvenience.,Complaint,
89,"The product stopped working after a week, and there is no way to get support.",Complaint,
90,"Packaging was terrible, and the product was scratched and damaged on arrival.",Complaint,
91,"The customer service team has been unresponsive, making it impossible to resolve my issue.",Complaint,
92,"For this price point, I expected a premium product,I just got a cheap and defective one.",Complaint,
93,"This was supposed to be new, but it looks like has been used before.",Complaint,
94,The product does not perform as advertised. It is a waste of money.,Complaint,
95,"I had high hopes for this, but the build quality is extremely poor.",Complaint,
96,"The item arrived late, and when it finally did, it was defective.",Complaint,
97,Not worth the buy at all. I could have gotten something better for half the price elsewhere.,Complaint,
98,"My order arrived damaged, and I need a replacement.",Request for action,
99,Your customer service team has not responded to my emails. I expected better service,Complaint,
100,The package I received was missing some items I ordered.,Complaint,
101,"Your website is too slow, and I can not complete my transaction.",Technical Issue,
102,"I was promised a refund, but it has not been processed yet.",Technical Issue,
103,Your customer support agent was rude during our last interaction.,Complaint,
104,The delivery service left my package in the wrong location. I had to go over and bring them all myself,Complaint,
105,The installation instructions for your product are unclear.,Complaint,
106,Your recent update has made the app almost unusable.,Technical Issue,
107,My issue has not been resolved despite contacting support multiple times.,Complaint,
108,Your delivery partner refused to accept the return package.,Complaint,
109,Your live chat service takes too long to connect to an agent.,Technical Issue,
110,I was put on hold for over an hour and still did not get help.,Complaint,
