Query_Id,query,final_label,label_1,label_2,predicted_label_bart-large-mnli,predicted_label_roberta-large-mnli,predicted_label
1,How can I update my email address on my account?,Inquiry,Inquiry,Inquiry,Unclear,Inquiry,Inquiry
2,I need help resetting my password.,Request for action,Request for action,Request for action,Request for action,Request for action,Request for action
3,Can you guide me on how to change my subscription plan?,Request for action,Inquiry,Request for action,Request for action,Request for action,Request for action
4,How do I delete my account permanently?,Inquiry,Inquiry,Inquiry,Unclear,Inquiry,Inquiry
5,I want to know if I can pause my subscription temporarily.,Inquiry,Inquiry,Inquiry,Request for action,Request for action,Request for action
6,How can I check my account balance?,Inquiry,Inquiry,Inquiry,Unclear,Inquiry,Inquiry
7,I forgot my username; can you help me recover it?,Request for action,Request for action,Request for action,Request for action,Request for action,Request for action
8,How do I update my payment details for the subscription?,Inquiry,Inquiry,Inquiry,Unclear,Request for action,Request for action
9,Can you explain how to redeem my loyalty points?,Inquiry,Inquiry,Request for action,Unclear,Request for action,Request for action
10,I want to unsubscribe from your promotional emails.,Unclear,Unclear,Unclear,Request for action,Request for action,Request for action
11,Where can I find the details of my past transactions?,Inquiry,Inquiry,Inquiry,Unclear,Unclear,Unclear
12,How do I enable two-factor authentication for my account?,Inquiry,Inquiry,Inquiry,Unclear,Request for action,Request for action
13,How can I check when my subscription is set to renew?,Inquiry,Inquiry,Inquiry,Unclear,Unclear,Unclear
14,What happens if my payment method expires during auto-renewal?,Inquiry,Inquiry,Inquiry,Unclear,Inquiry,Inquiry
15,How do I add a secondary user to my account?,Inquiry,Inquiry,Inquiry,Unclear,Unclear,Unclear
16,Can I switch to an annual plan instead of monthly billing?,Inquiry,Inquiry,Inquiry,Request for action,Request for action,Request for action
17,I need help recovering my account after it was locked.,Request for action,Request for action,Request for action,Request for action,Request for action,Request for action
18,Where can I view the subscription benefits in detail?,Inquiry,Inquiry,Inquiry,Unclear,Inquiry,Inquiry
19,Can I get a trial period before committing to a subscription?,Inquiry,Inquiry,Inquiry,Unclear,Request for action,Request for action
20,How do I change the shipping address saved on my account?,Inquiry,Inquiry,Inquiry,Unclear,Request for action,Request for action
21,I want to know if I can merge two accounts into one.,Inquiry,Inquiry,Inquiry,Unclear,Request for action,Request for action
22,What steps do I need to follow to verify my account?,Inquiry,Inquiry,Inquiry,Unclear,Unclear,Unclear
23,Can I add multiple payment methods to my account?,Inquiry,Inquiry,Inquiry,Unclear,Unclear,Unclear
24,How do I update the preferences for notifications from your service?,Inquiry,Inquiry,Inquiry,Unclear,Technical Issue,Technical Issue
25,What should I do if my account gets hacked?,Inquiry,Inquiry,Inquiry,Unclear,Request for action,Request for action
26,Can I access my subscription benefits while traveling abroad?,Inquiry,Inquiry,Inquiry,Request for action,Inquiry,Inquiry
27,How do I extend the trial period for my subscription?,Inquiry,Inquiry,Inquiry,Request for action,Request for action,Request for action
28,How do I dispute a charge made to my account?,Inquiry,Inquiry,Inquiry,Unclear,Unclear,Unclear
29,I need help linking my account with my social media profiles.,Request for action,Request for action,Request for action,Request for action,Request for action,Request for action
30,I cannot log into my account despite using the correct password.,Technical Issue,Technical Issue,Technical Issue,Unclear,Technical Issue,Technical Issue
31,The app keeps freezing when I try to access my previous orders.,Technical Issue,Technical Issue,Technical Issue,Request for action,Unclear,Unclear
32,The website shows an error message every time I attempt to make a payment.,Technical Issue,Technical Issue,Technical Issue,Unclear,Unclear,Unclear
33,The new update caused some of my saved data to disappear.,Technical Issue,Technical Issue,Technical Issue,Unclear,Unclear,Unclear
34,Why is my promo code  not being accepted during checkout?,Inquiry,Inquiry,Inquiry,Unclear,Unclear,Unclear
35,I am having trouble connecting to your service via mobile data.,Technical Issue,Technical Issue,Technical Issue,Unclear,Technical Issue,Technical Issue
